principle	원칙, 원리
allocation	배분
fundamental	중요한, 근본적인
nuisance	(불법) 방해, 폐
operator	사업자, 운영자
externality	외부성
legislation	법률
preventative	(=preventive) 예방하는, 예방적인
secure	안전한
pesticide	살충제
genetically modified organism	유전자 변형 생물
be subject to	~을 거쳐야[받아야] 하다
prior	사전의
licensing	허가
scheme	제도
accommodate	수용하다
expand	커지다, 확대되다
put pressure on	~에 압박을 가하다
deliver	(아기를) 출산하다
ancestor	조상
great ape	유인원
evolution	진화
significantly	현저히
cousin	시, 촌
in terms of	~의 측면[관점]에서
upright	똑바로 (서서), 꼿꼿이
narrow	좁은
birth canal	산도
considerably	상당히
assist	돕다
peak	절정
productivity	생산성
complexity	복잡성
domain	영역
ideation	아이디어 형성, 관념화
elaboration	정교화
rate	속도, 비율
decline	감소하다; 감소
achievement	업적, 성취
contribute to	~에 기여하다[이바지하다]
make up for	~을 보충하다
shortened	단축된, 짧아진
output	생산량
associated with	~와 관련된
agricultural	농업의
tackle	다루다
conventional	재래의, 관습적인
regulation	규제
numerous	무수한
agency	기관
inadequately	불충분하게, 부적절하게
fund	자금을 대다
, staff	인력[직원]을 배치하다
eco-certification	친환경 인증
means	수단
superior	우수한
basis	근거, 기초
premium	프리미엄, 할증료
in turn	결국, 결과적으로
incentive	동기, 장려책
standard	기준
apparently	보기에는, 아마도
certified	인증된, 증명된
organic	유기농의
valley	계곡
capital city	수도
pressure	압력, 압박
strategy	전략
severe	심각한
consequence	결과
labor cost	인건비
conversion	전환
yield	수확량
initial	최초의
subsequent	그 다음의
annual	연간의
monitor	감시하다
specifically	구체적으로
significantly	상당히, 크게
pesticide	살충제
fertilizer	비료
herbicide	제초제
causal	인과의
practice	관행
apprentice	수습생
expand	확장하다
inhabitant	주민
play the long game	시간이 걸릴 수도 있는 목표를 달성하는 데 적극 임하다
compromise	절충안
laboratory	연구소
Monsieur 	~씨(영어의 Mr. 에 해당하는 경칭)
thorough	철저한
markedly	현저하게
profession	직업
expert	전문가
inferior	하급자
expertise	전문적 기술
alternative	대안
implement	실행하다
savior	구원자
encode	부호화하다
