registration fee	등록비
custom	주문 제작한
feature	특별 행사로 ~이 있다, 특별히 ~을 가지다
sidewalk sale	노상 판매
vendor	노점상
resemble	닮다
combination	조합
index	목차, 지수
consist of	~으로 구성되다
summary	개요, 요약
column	세로 단, 기고란, 기둥
considerable	상당한
cue	단서[신호]를 제공하다
merely	단순히, 단지
verbal	말로 나타낸, 말의, 말에 관한
dictate	~하게 하다, 지시[명령]하다
point up	~을 강조하다
interpret	해석하다
vehicle	매개체
framework	틀
convention	관습
mediation	매개, 중개, 조정
collectively	집합적으로
have little bearing on	~와 거의 관계가 없다
face	측면
perceive	인지하다
might (very) well	아마 ~일 것이다
indiscernible	분간하기 어려운
distinct	별개의
long-standing	오래 지속된
per se	그 자체로
investigator	연구원, 조사자
reconstruct	재구성하다
retrieve	생각해 내다, 되찾다
fleeting	순간적인, 덧없는
report	말하다, 보고하다
revivability	되살아날 가능성, 회복력
grief	슬픔
summon up	(생각, 감정 등을) 떠올리다[상기하다]
apparent	~인 것처럼 보이는, 명백한
mess	혼란
bacterial domain	세균역
macrobiological	거시생물학의
relatedness	관련성
microscope	현미경
be dedicated to	~에 오로지 집중되다
microbiology	미생물학
distinction	구분
live with	~을 감수하다
criterion	기준 (pl. criteria)
nasty	해로운, 더러운
grant	부여하다
taxonomist	분류학자
incorporate	포함하다
associate ~ with ...	~을 …와 연관시키다
bearded	수염이 난
heritage	유산
owe ~ to ...	~은 … 덕분이다
ancient	고대의
since time immemorial	먼 옛날부터
right off the bat	즉시
reason	사유하다, 추론하다
likewise	마찬가지로
discipline	학문 (분야)
in isolation	별도로, 별개로, 고립되어
purely	순전히
aesthetic	미적인
currency	통화
contemporary	현대의
fragmentation	해체, 단편화
transaction	거래
turnover	(상품, 자금의) 회전율
contribute to	~을 일으키다[야기하다], ~에 기여하다
plural	다양한
inevitably	필연적으로
confirm	확인하다
branch	분야, 가지
elaborate	정교한
far-reaching	광범위한
overwhelmingly	극도로, 압도적으로
sacrifice	대가, 희생
reliance	의존
as a consequence	결과적으로
applicable	적용할 수 있는
quite	전혀, 절대적으로, 상당히
beyond the reach of	~이 미치지 못하는
trap	가두다
translate into	~을 초래하다
drought	가뭄
concentrated	집중된
intense	심한
suck	흡수하다, 빨아들이다
Celsius	섭씨
absorb	흡수하다
uniform	균일한
disguise	감추다, 위장하다
contrast	대비, 대조; 대비되다
attain	이루다, 달성하다
linear	선의
intersect	교차하다
externalize	(내면의 감정을) 표현하다, 외부화하다
costume	의상
arrangement	배열
redirection	방향 수정
